Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Clifton Court Intake,7/23/1991,528,91.47785985,OMR,C,18
San Joaquin River @ Mossdale Bridge - C7A,11/17/1994,796,91.53716312,SJRcorridor,W,36
Rock Slough @ Old River,7/9/1992,812,91.63677332,OMR,C,18
Old River North of Rock Slough (St 4b),7/9/1992,795,91.63677332,OMR,C,18
Grant Line/Fabian/Bell Canals nr Old R.,7/9/1992,724,91.63677332,SouthDelta,C,22
Contra Costa PP Number 01,11/5/2002,874,91.73476989,OMR,AN,20
Clifton Court Intake,5/21/1992,463,91.77345049,OMR,C,22
Middle River at Bacon Island Bridge,5/21/1992,458,91.77345049,OMR,C,22
Old River @ Tracy Road Bridge - P12,12/23/2008,1257,91.80575032,SouthDelta,D,61
Grant Line Canal @ Tracy Blvd,12/23/2008,928,91.80575032,SouthDelta,D,43
Contra Costa PP Number 01,11/5/1997,948,91.80829068,OMR,W,20.7
Old River South of Rock Slough (St 5A),3/1/1988,540,91.84800955,OMR,C,20
Rock Slough @ Old River,9/25/1990,583,91.8739207,OMR,C,16
Old River North of Rock Slough (St 4b),9/25/1990,573,91.8739207,OMR,C,16
Grant Line/Fabian/Bell Canals nr Old R.,9/25/1990,447,91.8739207,SouthDelta,C,17
Middle River at Bacon Island Bridge,9/1/1992,465,91.88565434,OMR,C,16
Middle River at Bacon Island Bridge,6/28/1991,451,91.92518677,OMR,C,17
Contra Costa PP Number 01,8/23/1994,703,91.93258472,OMR,C,15
Old River near Rock Slough,9/2/1959,644,91.96611223,OMR,BN,18
Old River near Rock Slough,9/2/1959,621,91.96611223,OMR,BN,18
Old River North of Rock Slough (St 4b),7/10/1991,648,92.07471565,OMR,C,16
Rock Slough @ Old River,7/10/1991,630,92.07471565,OMR,C,16
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1991,564,92.07471565,SouthDelta,C,20
Contra Costa PP Number 01,8/19/1992,904,92.0935494,OMR,C,18
Old River North of Rock Slough (St 4b),8/19/1992,915,92.0935494,OMR,C,17
Rock Slough @ Old River,8/19/1992,901,92.0935494,OMR,C,17
Middle River at Bacon Island Bridge,8/19/1992,484,92.0935494,OMR,C,16
Little Connection Sl. @ Empire Tr.,8/19/1992,163,92.0935494,SJRcorridor,C,12
Grant Ln Can @ Tracy Rd Bdg,8/19/1992,1080,92.0935494,SouthDelta,C,53
Old River nr Tracy,8/19/1992,1160,92.0935494,SouthDelta,C,45
Grant Line/Fabian/Bell Canals nr Old R.,8/19/1992,822,92.0935494,SouthDelta,C,29
Contra Costa PP Number 01,6/23/1992,885,92.2794422,OMR,C,20
Middle River @ Union Point - P10A,12/1/2009,320,92.29828513,OMR,BN,16
Middle River @ Union Point - P10A,12/1/2009,320,92.29828513,SouthDelta,BN,16
Middle River @ Union Point - P10A,1/6/2014,601,92.33233742,OMR,C,19
Middle River @ Union Point - P10A,1/6/2014,601,92.33233742,SouthDelta,C,19
Contra Costa PP Number 01,5/19/1992,451,92.35936602,OMR,C,19
Middle River at Bacon Island Bridge,6/11/1991,468,92.37007644,OMR,C,18
Contra Costa PP Number 01,9/20/1994,935,92.37559029,OMR,C,18
Contra Costa PP Number 01,9/22/1992,882,92.38888101,OMR,C,18
Contra Costa PP Number 01,7/22/1992,905,92.3938467,OMR,C,19
Old River North of Rock Slough (St 4b),7/22/1992,909,92.3938467,OMR,C,18
Rock Slough @ Old River,7/22/1992,899,92.3938467,OMR,C,18
Middle River at Bacon Island Bridge,7/22/1992,527,92.3938467,OMR,C,18
San Joaquin River @ Mossdale Bridge - C7A,7/22/1992,979,92.3938467,SJRcorridor,C,43
Little Connection Sl. @ Empire Tr.,7/22/1992,179,92.3938467,SJRcorridor,C,12
Grant Ln Can @ Tracy Rd Bdg,7/22/1992,1100,92.3938467,SouthDelta,C,54
Old River nr Tracy,7/22/1992,1120,92.3938467,SouthDelta,C,46
Grant Line/Fabian/Bell Canals nr Old R.,7/22/1992,900,92.3938467,SouthDelta,C,34
Middle River @ Union Point - P10A,11/3/2014,613,92.39401068,OMR,C,18
Middle River @ Union Point - P10A,11/3/2014,613,92.39401068,SouthDelta,C,18
Middle River at Bacon Island Bridge,10/2/1990,437,92.40360011,OMR,C,19
Contra Costa PP Number 01,10/2/1990,625,92.40360011,OMR,C,17
Contra Costa PP Number 01,10/7/1992,900,92.45317986,OMR,AN,20
Middle River at Bacon Island Bridge,10/7/1992,522,92.45317986,OMR,AN,19
Rock Slough @ Old River,10/7/1992,849,92.45317986,OMR,AN,18
Old River North of Rock Slough (St 4b),10/7/1992,835,92.45317986,OMR,AN,17
San Joaquin River @ Mossdale Bridge - C7A,10/7/1992,944,92.45317986,SJRcorridor,AN,47
Little Connection Sl. @ Empire Tr.,10/7/1992,232,92.45317986,SJRcorridor,AN,14
Old River nr Tracy,10/7/1992,974,92.45317986,SouthDelta,AN,45
