Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Br
San Joaquin River @ Mossdale Bridge - C7A,8/15/1996,747,77.45680181,SJRcorridor,W,0.31
Contra Costa PP Number 01,9/5/1996,283,73.8076039,OMR,W,0.11
San Joaquin River @ Mossdale Bridge - C7A,9/12/1996,666,76.73553471,SJRcorridor,W,0.27
Contra Costa PP Number 01,10/3/1996,292,81.93439648,OMR,W,0.12
San Joaquin River @ Mossdale Bridge - C7A,10/10/1996,609,83.55493234,SJRcorridor,W,0.26
Contra Costa PP Number 01,11/7/1996,495,84.27562766,OMR,W,0.3
San Joaquin River @ Mossdale Bridge - C7A,11/14/1996,690,87.30019572,SJRcorridor,W,0.27
Contra Costa PP Number 01,12/5/1996,688,78.03491703,OMR,W,0.41
San Joaquin River @ Mossdale Bridge - C7A,12/12/1996,220,67.9766535,SJRcorridor,W,0.04
Contra Costa PP Number 01,1/9/1997,427,31.8495819,OMR,W,0.15
San Joaquin River @ Mossdale Bridge - C7A,2/13/1997,185,47.19212894,SJRcorridor,W,0.04
Contra Costa PP Number 01,3/12/1997,314,55.67296976,OMR,W,0.08
San Joaquin River @ Mossdale Bridge - C7A,3/13/1997,338,55.45327752,SJRcorridor,W,0.1
San Joaquin River @ Mossdale Bridge - C7A,4/9/1997,788,73.79612645,SJRcorridor,W,0.3
Contra Costa PP Number 01,4/10/1997,272,73.77999403,OMR,W,0.07
San Joaquin River @ Mossdale Bridge - C7A,5/13/1997,346,71.63203277,SJRcorridor,W,0.11
Contra Costa PP Number 01,5/13/1997,363,71.63203277,OMR,W,0.11
Contra Costa PP Number 01,6/4/1997,294,78.50514499,OMR,W,0.09
San Joaquin River @ Mossdale Bridge - C7A,6/4/1997,560,78.50514499,SJRcorridor,W,0.22
Contra Costa PP Number 01,7/1/1997,249,78.99333076,OMR,W,0.07
San Joaquin River @ Mossdale Bridge - C7A,7/2/1997,620,78.23532434,SJRcorridor,W,0.24
Contra Costa PP Number 01,8/6/1997,267,77.35304839,OMR,W,0.12
San Joaquin River @ Mossdale Bridge - C7A,8/7/1997,663,77.94958475,SJRcorridor,W,0.27
Contra Costa PP Number 01,9/2/1997,269,77.2650624,OMR,W,0.08
San Joaquin River @ Mossdale Bridge - C7A,9/2/1997,671,77.2650624,SJRcorridor,W,0.26
Contra Costa PP Number 01,11/5/1997,948,91.80829068,OMR,W,0.78
Contra Costa PP Number 01,12/10/1997,1080,71.95083355,OMR,W,0.67
Contra Costa PP Number 01,1/6/1998,920,80.42409534,OMR,W,0.52
Contra Costa PP Number 01,2/5/1998,879,41.15155574,OMR,W,0.38
Contra Costa PP Number 01,3/3/1998,1100,46.174655,OMR,W,0.39
Old River @ Middle River,6/9/1998,236,51.89782644,SouthDelta,W,0.07
Contra Costa PP Number 01,7/8/1998,233,56.61660003,OMR,W,0.06
Contra Costa PP Number 01,8/5/1998,190,70.95431958,OMR,W,0.05
Contra Costa PP Number 01,9/2/1998,161,67.79734317,OMR,W,0.03
Contra Costa PP Number 01,10/14/1998,208,70.16642583,OMR,W,0.04
Contra Costa PP Number 01,11/4/1998,190,78.12007996,OMR,W,0.04
Contra Costa PP Number 01,12/2/1998,289,64.89739823,OMR,W,0.09
Contra Costa PP Number 01,1/6/1999,459,64.63920091,OMR,W,0.15
